query,cluster,intent,priority,target_url,page_type,status,notes
pc consult,Брендовые,navigational,H,/,brand,existing,
pc consult ru,Брендовые,navigational,H,/,brand,existing,
pc-consult,Брендовые,navigational,H,/,brand,existing,
pc-consult.ru,Брендовые,navigational,H,/,brand,existing,
ооо пк консалтинг,Брендовые,navigational,H,/,brand,existing,
пк консалтинг,Брендовые,navigational,H,/,brand,existing,
пк консалтинг спб,Брендовые,navigational,H,/,brand,existing,
пк контакты,Брендовые,navigational,H,/,brand,existing,
пк проекты,Брендовые,navigational,H,/,brand,existing,
пк санкт-петербург,Брендовые,navigational,H,/,brand,existing,
пк статьи,Брендовые,navigational,H,/,brand,existing,
пк стратегический консалтинг,Брендовые,navigational,H,/,brand,existing,
пк услуги,Брендовые,navigational,H,/,brand,existing,
пк финансовый консалтинг,Брендовые,navigational,H,/,brand,existing,
антикризисный консалтинг в санкт-петербурге,Гео-коммерция,transactional,M,/services,commercial,existing,
антикризисный консалтинг онлайн,Гео-коммерция,transactional,M,/services,commercial,existing,
антикризисный консалтинг по россии,Гео-коммерция,transactional,M,/services,commercial,existing,
антикризисный консалтинг санкт-петербург,Гео-коммерция,transactional,M,/services,commercial,existing,
антикризисный консалтинг спб,Гео-коммерция,transactional,M,/services,commercial,existing,
аудит бизнеса в санкт-петербурге,Гео-коммерция,transactional,M,/services,commercial,existing,
аудит бизнеса онлайн,Гео-коммерция,transactional,M,/services,commercial,existing,
аудит бизнеса по россии,Гео-коммерция,transactional,M,/services,commercial,existing,
аудит бизнеса санкт-петербург,Гео-коммерция,transactional,M,/services,commercial,existing,
аудит бизнеса спб,Гео-коммерция,transactional,M,/services,commercial,existing,
бизнес консалтинг в санкт-петербурге,Гео-коммерция,transactional,M,/services,commercial,existing,
бизнес консалтинг онлайн,Гео-коммерция,transactional,M,/services,commercial,existing,
бизнес консалтинг по россии,Гео-коммерция,transactional,M,/services,commercial,existing,
бизнес консалтинг санкт-петербург,Гео-коммерция,transactional,M,/services,commercial,existing,
бизнес консалтинг спб,Гео-коммерция,transactional,M,/services,commercial,existing,
долговая нагрузка бизнеса в санкт-петербурге,Гео-коммерция,transactional,M,/services/debt-restructuring,commercial,existing,
